ip_address,status
192.168.1.1,UP
192.168.1.2,DOWN
192.168.1.3,DOWN
192.168.1.4,DOWN
192.168.1.5,DOWN
192.168.1.6,DOWN
192.168.1.7,DOWN
192.168.1.8,DOWN
192.168.1.9,DOWN
192.168.1.10,DOWN
192.168.1.11,DOWN
192.168.1.12,DOWN
192.168.1.13,DOWN
192.168.1.14,DOWN
192.168.1.15,DOWN
192.168.1.16,DOWN
192.168.1.17,DOWN
192.168.1.18,DOWN
192.168.1.19,DOWN
192.168.1.20,DOWN
192.168.1.21,DOWN
192.168.1.22,DOWN
192.168.1.23,DOWN
192.168.1.24,DOWN
192.168.1.25,DOWN
192.168.1.26,DOWN
192.168.1.27,DOWN
192.168.1.28,DOWN
192.168.1.29,DOWN
192.168.1.30,DOWN
192.168.1.31,DOWN
192.168.1.32,DOWN
192.168.1.33,DOWN
192.168.1.34,DOWN
192.168.1.35,DOWN
192.168.1.36,DOWN
192.168.1.37,DOWN
192.168.1.38,DOWN
192.168.1.39,DOWN
192.168.1.40,DOWN
192.168.1.41,DOWN
192.168.1.42,DOWN
192.168.1.43,DOWN
192.168.1.44,DOWN
192.168.1.45,DOWN
192.168.1.46,DOWN
192.168.1.47,DOWN
192.168.1.48,DOWN
192.168.1.49,DOWN
192.168.1.50,DOWN
192.168.1.51,DOWN
192.168.1.52,DOWN
192.168.1.53,DOWN
192.168.1.54,DOWN
192.168.1.55,DOWN
192.168.1.56,DOWN
192.168.1.57,DOWN
192.168.1.58,DOWN
192.168.1.59,DOWN
192.168.1.60,DOWN
192.168.1.61,DOWN
192.168.1.62,DOWN
192.168.1.63,DOWN
192.168.1.64,DOWN
192.168.1.65,DOWN
192.168.1.66,DOWN
192.168.1.67,DOWN
192.168.1.68,DOWN
192.168.1.69,DOWN
192.168.1.70,DOWN
192.168.1.71,DOWN
192.168.1.72,DOWN
192.168.1.73,DOWN
192.168.1.74,DOWN
192.168.1.75,DOWN
192.168.1.76,DOWN
192.168.1.77,DOWN
192.168.1.78,DOWN
192.168.1.79,DOWN
192.168.1.80,DOWN
192.168.1.81,DOWN
192.168.1.82,DOWN
192.168.1.83,DOWN
192.168.1.84,DOWN
192.168.1.85,DOWN
192.168.1.86,DOWN
192.168.1.87,DOWN
192.168.1.88,DOWN
192.168.1.89,DOWN
192.168.1.90,DOWN
192.168.1.91,DOWN
192.168.1.92,DOWN
192.168.1.93,DOWN
192.168.1.94,DOWN
192.168.1.95,DOWN
192.168.1.96,DOWN
192.168.1.97,DOWN
192.168.1.98,DOWN
192.168.1.99,DOWN
192.168.1.100,UP
192.168.1.101,UP
192.168.1.102,DOWN
192.168.1.103,DOWN
192.168.1.104,UP
192.168.1.105,UP
192.168.1.106,UP
192.168.1.107,DOWN
192.168.1.108,UP
192.168.1.109,DOWN
192.168.1.110,UP
192.168.1.111,DOWN
192.168.1.112,DOWN
192.168.1.113,DOWN
192.168.1.114,DOWN
192.168.1.115,DOWN
192.168.1.116,DOWN
192.168.1.117,DOWN
192.168.1.118,DOWN
192.168.1.119,DOWN
192.168.1.120,DOWN
192.168.1.121,DOWN
192.168.1.122,DOWN
192.168.1.123,DOWN
192.168.1.124,DOWN
192.168.1.125,DOWN
192.168.1.126,DOWN
192.168.1.127,DOWN
192.168.1.128,DOWN
192.168.1.129,DOWN
192.168.1.130,DOWN
192.168.1.131,DOWN
192.168.1.132,DOWN
192.168.1.133,DOWN
192.168.1.134,DOWN
192.168.1.135,DOWN
192.168.1.136,DOWN
192.168.1.137,DOWN
192.168.1.138,DOWN
192.168.1.139,DOWN
192.168.1.140,DOWN
192.168.1.141,DOWN
192.168.1.142,DOWN
192.168.1.143,DOWN
192.168.1.144,DOWN
192.168.1.145,DOWN
192.168.1.146,DOWN
192.168.1.147,DOWN
192.168.1.148,DOWN
192.168.1.149,DOWN
192.168.1.150,DOWN
192.168.1.151,DOWN
192.168.1.152,DOWN
192.168.1.153,DOWN
192.168.1.154,DOWN
192.168.1.155,DOWN
192.168.1.156,DOWN
192.168.1.157,DOWN
192.168.1.158,DOWN
192.168.1.159,DOWN
192.168.1.160,DOWN
192.168.1.161,DOWN
192.168.1.162,DOWN
192.168.1.163,DOWN
192.168.1.164,DOWN
192.168.1.165,DOWN
192.168.1.166,DOWN
192.168.1.167,DOWN
192.168.1.168,DOWN
192.168.1.169,DOWN
192.168.1.170,DOWN
192.168.1.171,DOWN
192.168.1.172,DOWN
192.168.1.173,DOWN
